"name","value","description","suffix","status","status"
"AC Adaptor","","AC adapter is an external power supply used with devices that run on batteries or have no other power source. AC adapters help reduce the size of a laptop computer by alleviating the need for a standard sized power supply.",NULL,"Active",NULL
"Aksesoris","","If the product has an additional accessories, than it can be defined",NULL,"Active",NULL
