"name","value","description","suffix","status","status"
"AC Adaptor","","AC adapter is an external power supply used with devices that run on batteries or have no other power source. AC adapters help reduce the size of a laptop computer by alleviating the need for a standard sized power supply.",NULL,"Active",NULL
"Aksesoris","","If the product has an additional accessories, than it can be defined",NULL,"Active",NULL
"Kapasitas ADF","[\"200\"]","Automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier","ADF","Active",NULL
"Tray ADF?","[\"Yes \",\" No\"]","Indicates if there exists an ADF Tray or not",NULL,"Active",NULL
"Kelompok Usia","[\"0-3 Bulan\",\" 4-6 Bulan\",\" 7-12 Bulan\",\" 1-2 Tahun\",\" 3-4 Tahun\",\" 5-6 Tahun\",\" 7-10 Tahun\",\" 11 Tahun+\",\" Semua Umur\"]","Recommended age for toys & baby products",NULL,"Active",NULL
"Persentase Alkohol","[\"0.2\"]","Alcohol Percentage (%)",NULL,"Active",NULL
"Jumlah Antena","[\"2\",\" 4\"]","Number of antennas",NULL,"Active",NULL
"Apperture","[\"3.5\",\" 5.6 \"]","Apperture of the camera lens",NULL,"Active",NULL
"Artis","","Artist of the music",NULL,"Active",NULL
"Fitur Audio","","Audio features of device",NULL,"Active",NULL
"Format Audio","","Format of the speaker",NULL,"Active",NULL
"Pengarang","","Author of a book",NULL,"Active",NULL
"Berat Bayi","[\"0-4 kg\",\" 4-6 kg\",\" 6-12 kg\",\" >12 kg\"]","Baby Weight","","Active",NULL
"Jenis Bola","[\"Indoor\",\" Outdoor\",\" Indoor & Outdoor\",\" Newcomb\",\" Beach\"]","Type of the ball",NULL,"Active",NULL
"Baterai","[\"12.6\"]","Battery capacity of truck","Volts","Active",NULL
"Kapasitas Baterai","[\"2000\"]","Maximum total electric charge that can be stored within the battery (mHa)","mHa","Active",NULL
"Usia Baterai","","How long a device can work on a single charge of a rechargeable batter",NULL,"Active",NULL
"Ukuran Baling-baling Kipas","[\"25\",\" 29\",\" 50\"]","Size of fan's blade","inches","Active",NULL
"Blower?","[\"Yes\",\" No\"]","Indicates if vacuum has a blower",NULL,"Active",NULL
"Bluetooth?","[\"Yes\",\" No\"]","Indicates if bluetooth is included or not",NULL,"Active",NULL
"Body Only?","[\"Yes\",\" No\"]","Indicates if the DSLR is body only",NULL,"Active",NULL
"Built In Microphone?","[\"Yes \",\" No\"]","Indicates if the Microphone is built into the device or not",NULL,"Active",NULL
"Panjang Kabel","[\"50\"]","Length of headphone's cable","cm","Active",NULL
"Jenis Kabel","[\"Twisted\",\" Straight\",\" Long Straight\"]","Type of headphone's cable",NULL,"Active",NULL
"Sumber Daya Kalkulator","[\"Battery\",\" Solar\",\" Battery & Solar\",\" Other\"]","Power source of the calculator",NULL,"Active",NULL
"Aksesoris Tambahan Kamera","[\"1GB memory card\",\" 2GB memory card\",\" 4GB memory card\",\" 8GB memory card\",\" 16GB memory card\",\" 32GB memory card\",\" 64GB memory card\",\" Flash\",\" Monopod\",\" Tripod\",\" Camera Bag\"]","List of the main accessories included in the camera set",NULL,"Active",NULL
"Resolusi Kamera Belakang","[\"4.8\"]","Resolution of the back camera","Megapixels","Active",NULL
"Resolusi Kamera Depan","[\"4.8\"]","Resolution of the front camera","Megapixels","Active",NULL
"Kapasitas","","Capacity of a product",NULL,"Active",NULL
"Chipset","","Chipset of a handphone",NULL,"Active",NULL
"Kapasitas Air Dingin Dispenser","[\"3\",\" 4\",\" 5\"]","Cold water capacity of dispenser","Litre","Active",NULL
"Daya Air Dingin Displenser","[\"100\"]","Wattage of cold water's dispenser","W","Active",NULL
"Kompatibel Dengan Model","","Models with which the device is compatible with (specifc model of phone or tablet)",NULL,"Active",NULL
